x,lag1,lag2,lag3,rolling_mean_3,rolling_std_3,ema_3,y_binary
1.473317274593885,0.44238479471709574,0.5834101862259417,0.5271460802525381,0.5170907372485611,-0.5570612113771098,0.5087175814903144,1.0
1.4734905143228048,0.45145700004401834,0.44234367142327063,0.583379056677415,0.4663242671180732,-0.8085780912315811,0.48808976421348743,0.0
1.4736637540517235,0.43841118804847173,0.45141623077373005,0.4423075648435694,0.4554249571908097,-0.760453355476124,0.46329347288124373,0.0
1.4738369937806433,0.41124658015675947,0.4383699096930893,0.451380444287077,0.4997524968583213,-0.5202656193749697,0.53984860015664,1.0
1.474010233509562,0.5780962506305621,0.4112042417602719,0.4383336629133127,0.6964217401613277,0.22479579756957213,0.8032041744222038,1.0
1.4741834732384818,1.0002751167061181,0.5780604231879519,0.4111670365363431,0.9037801026281974,0.01989359097340618,0.9366802836784747,1.0
1.474356712967401,1.0036482298450524,1.0002557638967347,0.5780291048920286,1.147895924154759,-0.2821454263667838,1.148357266531022,1.0
1.4745299526963203,1.2755102042658075,1.003629008664242,1.0002393412645725,1.2139492711582731,-0.34845088674035407,1.2080650242245503,0.0
1.4747031924252394,1.188982778489313,1.2755015919209118,1.003612705045046,1.1454669745924695,0.03383253975181388,1.0348046344767754,0.0
1.4748764321541588,0.8080013073993452,1.188970789595475,1.2754948803606412,1.0902177145517098,-0.12693848738681254,1.1132687387421807,1.0
1.475049671883078,1.1176687147650632,0.8079744515130861,1.1889610251030374,1.1132991869545583,-0.03505384926395731,1.2256763829010195,1.0
1.4752229116119973,1.254924186233926,1.1176539429914125,0.8079512449174343,1.2381402723838923,-0.5890730489582928,1.233757025605895,0.0
1.4753961513409164,1.1646595297993836,1.2549147705634167,1.1176416623372243,1.2194775984355586,-0.5000609376784048,1.1843196280680346,0.0
1.4755693910698358,1.0643513626068892,1.1646465917424462,1.2549073326702396,1.1729824678645737,-0.6566294825735588,1.1903846269448028,1.0
1.475742630798755,1.1220923499624285,1.0643345102368562,1.1646359690570405,1.2221329254143292,-0.3944462930703539,1.290972703452638,1.0
1.4759158705276743,1.3050773638766615,1.1220777508117423,1.0643203483957726,1.1979852605631292,-0.28992905484595716,1.1761479159878805,0.0
1.4760891102565934,0.9953639520014657,1.3050699053273471,1.122065626235908,1.1742602156909183,-0.25946492774178925,1.1501629166382579,1.0
1.476262349985513,1.0543123214455066,0.9953444075443145,1.3050642369800443,0.9966999921247934,-0.3642565379704133,1.0004180874185449,0.0
1.476435589714432,0.7978059516788366,1.054295077323223,0.9953278116323792,0.6553756716636938,1.0422661520195862,0.5109961053843243,0.0
1.4766088294433515,0.020235251550831845,0.7977786979404831,1.0542805612763897,0.33654555658431823,0.6227142342331377,0.33197365901931786,1.0
1.4767820691722704,0.1434472668783974,0.020177654768044406,0.7977551316238625,0.11316971275810692,-0.5664921473318021,0.2510974660922899,1.0
